Date,State,Total,year,month,week,day_of_week,quarter,month_sin,month_cos,week_sin,week_cos,lag_1,lag_7,lag_30,rmean_4,rstd_4,rmean_8,rstd_8,rmean_13,rstd_13,rmean_26,rstd_26,rmean_52,rstd_52,rmin_13,rmax_13,expanding_mean,state_code,is_holiday,pct_wow,pct_mom,pct_yoy
2021-09-12,Maryland,104718308.15,2021,9,36,6,3,-1.0,-1.8369701987210297e-16,-0.9350162426854147,-0.3546048870425359,102307391.0,115587895.10000001,91850610.5,108684646.05000001,4384746.672349303,111253466.375,4514932.996921044,112662839.21923076,10892056.660780936,111288108.73653847,10674619.314069534,104246048.13461539,10871961.088743439,95097182.05,143534789.9,97976279.86906475,15,0,0.023565425004338225,-0.06123604781219971,0.01766297000823802
2021-09-19,Maryland,107129225.30000001,2021,9,37,6,3,-1.0,-1.8369701987210297e-16,-0.970941817426052,-0.23931566428755774,104718308.15,112688887.20000002,92005609.9,106976938.98750001,4224511.327499691,109690444.24375,4313221.229084399,112031290.72307692,11111190.736369994,110122970.91923077,9578592.075926488,104281000.69807693,10870472.846775398,95097182.05,143534789.9,98024437.21392858,15,0,0.023022881028087028,-0.019802561591830248,0.07679305246208878
2021-09-26,Maryland,104892964.4,2021,9,38,6,3,-1.0,-1.8369701987210297e-16,-0.992708874098054,-0.12053668025532357,107129225.30000001,109789879.30000001,94576325.5,106435866.0875,3959171.0509631624,108633110.51875001,3646199.991085297,111740178.9076923,11192192.98226537,109904687.11153847,9579703.890686043,104427925.22692308,10856058.405601118,95097182.05,143534789.9,98089010.17907801,15,0,-0.02087442426413222,-0.06000235782276775,0.05733566341794871
2021-10-03,Maryland,91814739.4,2021,10,39,6,4,-0.8660254037844386,0.5000000000000001,-1.0,-1.8369701987210297e-16,104892964.4,111549136.39999999,91957430.8,104761972.2125,1970441.7112729044,107658620.16875,3443539.242208698,111184630.83076924,11350160.630321877,110161413.91923077,9340438.587319933,104537309.52307694,10831027.64154831,95097182.05,143534789.9,98136925.34964788,15,0,-0.12468162259317361,-0.10256005453213046,-0.059675764621947236
2021-10-10,Maryland,151554135.6,2021,10,40,6,4,-0.8660254037844386,0.5000000000000001,-0.992708874098054,0.1205366802553232,91814739.4,109293516.9,135011891.4,102138809.31250001,6969692.862318181,105411727.68125,6426550.097782749,110932135.2423077,11766731.489977423,109853457.93076923,9814922.67646748,104425254.99134615,10933424.971200457,91814739.4,143534789.9,98092714.2590909,15,1,0.6506514813459241,0.44725538711828383,0.577404492817297
2021-10-17,Maryland,148289348.3,2021,10,41,6,4,-0.8660254037844386,0.5000000000000001,-0.9709418174260521,0.23931566428755738,151554135.6,111588539.9,112804604.3,113847766.17500001,26029162.045681376,110412352.58125,17649394.36739365,111549007.98846155,13673997.665929075,111045271.86538461,12642078.710890708,105492100.50096154,12671414.580053717,91814739.4,151554135.6,98463974.12951389,15,0,-0.021542053518201598,0.38421003124718744,0.575245831502669
2021-10-24,Maryland,146769139.20000002,2021,10,42,6,4,-0.8660254037844386,0.5000000000000001,-0.9350162426854148,0.35460488704253557,148289348.3,102307391.0,98218067.39999999,124137796.92500001,30277035.77984094,115286831.50625001,22116052.682626303,113938766.68846154,17046897.328098744,112926463.78846154,14359035.136521576,106533486.54711539,13886854.58098417,91814739.4,151554135.6,98807597.39965518,15,0,-0.010251640575859144,0.39922767975465856,0.5555437261327381
2021-10-31,Maryland,144129653.79999998,2021,10,43,6,4,-0.8660254037844386,0.5000000000000001,-0.8854560256532101,0.464723172043768,146769139.20000002,104718308.15,99821595.10000001,134606840.625,28597827.756225146,119684406.41875002,24630374.742974825,116337323.9269231,19337968.34848744,114771388.01153848,15507225.301254073,107541502.55096155,14854042.059872454,91814739.4,151554135.6,99136101.11061643,15,0,-0.017983926419322005,0.5697877567574947,0.5172166171793458
2021-11-07,Maryland,107092939.3,2021,11,44,6,4,-0.5000000000000004,0.8660254037844384,-0.822983865893657,0.5680647467311548,144129653.79999998,107129225.30000001,120566973.3,147685569.225,3099179.1101101935,124912189.26875001,24852591.892162293,118755844.43461539,20757622.312034994,116291972.92307693,16383005.703140471,108486378.68301281,15585092.974248001,91814739.4,151554135.6,99442179.70034014,15,0,-0.2569680390087774,-0.29336841336581776,0.11975188687025318
2021-11-14,Maryland,149358981.0,2021,11,45,6,4,-0.5000000000000004,0.8660254037844384,-0.7485107481711011,0.6631226582407952,107092939.3,104892964.4,99378358.3,136570270.15,19726556.024752352,125209018.1625,24589740.142651446,118548387.51153848,20867881.890397366,116165248.17307693,16443134.880062941,108706629.76826923,15480562.096662281,91814739.4,151554135.6,99493874.02195945,15,1,0.39466693113726126,0.007213145868279369,0.5512389562945497
2021-11-21,Maryland,151367133.60000002,2021,11,46,6,4,-0.5000000000000004,0.8660254037844384,-0.6631226582407955,0.7485107481711007,149358981.0,91814739.4,98801109.39999999,136837678.325,19944417.278894134,130487737.625,24686636.071750514,121456837.09615384,22390394.26343825,117260859.02307692,17672427.921614107,109727308.81057692,16369596.901510498,91814739.4,151554135.6,99828539.16946308,15,0,0.013445141273426442,0.031328073633615894,0.5429842298245722
2021-11-28,Maryland,145305604.20000002,2021,11,47,6,4,-0.5000000000000004,0.8660254037844384,-0.5680647467311559,0.8229838658936564,151367133.60000002,151554135.6,104594446.1,137987176.925,20820863.808008496,136297008.775,23228325.42165848,124693269.14999999,23499056.9674459,118860107.15000002,18813553.524081193,110751672.02019231,17269643.90708566,91814739.4,151554135.6,100172129.79900001,15,1,-0.04004521494090052,0.008158976095452353,0.49205492144406393
2021-12-05,Maryland,136233550.3,2021,12,48,6,4,-2.4492935982947064e-16,1.0,-0.4647231720437684,0.88545602565321,145305604.20000002,148289348.3,110387782.8,138281164.525,20944440.39133578,142983366.875,14744050.320194691,127286889.48076923,23791022.999488916,120279371.53076924,19376709.956323568,111673198.44134615,17812449.304850586,91814739.4,151554135.6,100471026.98046356,15,0,-0.06243430148442963,0.2721058100606266,0.47222959212386106
2021-12-12,Maryland,127161496.4,2021,12,49,6,4,-2.4492935982947064e-16,1.0,-0.35460488704253595,0.9350162426854147,136233550.3,146769139.20000002,120873098.9,145566317.275,6713227.710632516,141068293.7125,14464098.630885663,129896594.0423077,22656278.465967298,121279716.63076925,19507784.303925525,112513544.92403847,17922321.51874891,91814739.4,151554135.6,100706306.73914474,15,0,-0.06659192159363403,-0.14861834522023143,0.264230873392002
2021-12-19,Maryland,152395982.70000002,2021,12,50,6,4,-2.4492935982947064e-16,1.0,-0.2393156642875578,0.970941817426052,127161496.4,144129653.79999998,109786682.3,140016946.125,10588883.031313427,138427312.225,14880131.339784628,131622993.13846153,21397959.844063807,121827141.93076922,19463711.016948976,113024649.1298077,17954384.741321098,91814739.4,151554135.6,100879216.4754902,15,0,0.19844439562603333,0.0067970442164730915,0.5672762100272868
2021-12-26,Maryland,154213595.4,2021,12,51,6,4,-2.4492935982947064e-16,1.0,-0.12053668025532363,0.992708874098054,152395982.70000002,107092939.3,108404730.3,140274158.4,10962397.69610052,139130667.6625,15452730.537311409,135105051.4,20753359.510529876,123422615.15384616,20218870.007484302,114085414.18557692,18620393.473275628,91814739.4,152395982.70000002,101213740.9314935,15,1,0.011926906915768587,0.06130521426922364,0.5688768208790169
2022-01-02,Maryland,155587527.85000002,2022,1,52,6,1,0.49999999999999994,0.8660254037844387,6.432490598706546e-16,1.0,154213595.4,149358981.0,110224577.7,142501156.2,13034273.665688984,140391160.3625,16306450.429941596,138898946.0923077,19221672.109912395,125041788.46153848,20949584.395042233,115160761.39134616,19293141.72928147,91814739.4,154213595.4,101555675.47645162,15,1,0.0089092822616339,0.1420646933694425,0.4692723721384866
